date,ibc
2017-01-22,101.5
2017-01-29,101.5
2017-02-05,102.3
2017-02-12,102.3
2017-02-19,102.3
2017-02-26,102.3
2017-03-05,102.5
2017-03-12,102.5
2017-03-19,102.5
2017-03-26,102.5
2017-04-02,103.4
2017-04-09,103.4
2017-04-16,103.4
2017-04-23,103.4
2017-04-30,103.4
2017-05-07,103
2017-05-14,103
2017-05-21,103
2017-05-28,103
2017-06-04,103.9
2017-06-11,103.9
2017-06-18,103.9
2017-06-25,103.9
2017-07-02,103.1
2017-07-09,103.1
2017-07-16,103.1
2017-07-23,103.1
2017-07-30,103.1
2017-08-06,104.5
2017-08-13,104.5
2017-08-20,104.5
2017-08-27,104.5
2017-09-03,103.7
2017-09-10,103.7
2017-09-17,103.7
2017-09-24,103.7
2017-10-01,103.8
2017-10-08,103.8
2017-10-15,103.8
2017-10-22,103.8
2017-10-29,103.8
2017-11-05,105.1
2017-11-12,105.1
2017-11-19,105.1
2017-11-26,105.1
2017-12-03,106.3
2017-12-10,106.3
2017-12-17,106.3
2017-12-24,106.3
2017-12-31,106.3
2018-01-07,104.8
2018-01-14,104.8
2018-01-21,104.8
2018-01-28,104.8
2018-02-04,104.5
2018-02-11,104.5
2018-02-18,104.5
2018-02-25,104.5
2018-03-04,104.9
2018-03-11,104.9
2018-03-18,104.9
2018-03-25,104.9
2018-04-01,105.7
2018-04-08,105.7
2018-04-15,105.7
2018-04-22,105.7
2018-04-29,105.7
2018-05-06,105.1
2018-05-13,105.1
2018-05-20,105.1
2018-05-27,105.1
2018-06-03,105
2018-06-10,105
2018-06-17,105
2018-06-24,105
2018-07-01,104.4
2018-07-08,104.4
2018-07-15,104.4
2018-07-22,104.4
2018-07-29,104.4
2018-08-05,104.7
2018-08-12,104.7
2018-08-19,104.7
2018-08-26,104.7
2018-09-02,103.1
2018-09-09,103.1
2018-09-16,103.1
2018-09-23,103.1
2018-09-30,103.1
2018-10-07,105.2
2018-10-14,105.2
2018-10-21,105.2
2018-10-28,105.2
2018-11-04,103.5
2018-11-11,103.5
2018-11-18,103.5
2018-11-25,103.5
2018-12-02,102.3
2018-12-09,102.3
2018-12-16,102.3
2018-12-23,102.3
2018-12-30,102.3
2019-01-06,101.4
2019-01-13,101.4
2019-01-20,101.4
2019-01-27,101.4
2019-02-03,102.6
2019-02-10,102.6
2019-02-17,102.6
2019-02-24,102.6
2019-03-03,102.7
2019-03-10,102.7
2019-03-17,102.7
2019-03-24,102.7
2019-03-31,102.7
2019-04-07,102.4
2019-04-14,102.4
2019-04-21,102.4
2019-04-28,102.4
2019-05-05,101.8
2019-05-12,101.8
2019-05-19,101.8
2019-05-26,101.8
2019-06-02,100.1
2019-06-09,100.1
2019-06-16,100.1
2019-06-23,100.1
2019-06-30,100.1
2019-07-07,100.6
2019-07-14,100.6
2019-07-21,100.6
2019-07-28,100.6
2019-08-04,99.3
2019-08-11,99.3
2019-08-18,99.3
2019-08-25,99.3
2019-09-01,100.6
2019-09-08,100.6
2019-09-15,100.6
2019-09-22,100.6
2019-09-29,100.6
2019-10-06,96.8
2019-10-13,96.8
2019-10-20,96.8
2019-10-27,96.8
2019-11-03,96
2019-11-10,96
2019-11-17,96
2019-11-24,96
2019-12-01,95.7
2019-12-08,95.7
2019-12-15,95.7
2019-12-22,95.7
2019-12-29,95.7
2020-01-05,95.5
2020-01-12,95.5
2020-01-19,95.5
2020-01-26,95.5
2020-02-02,94.6
2020-02-09,94.6
2020-02-16,94.6
2020-02-23,94.6
2020-03-01,91.3
2020-03-08,91.3
2020-03-15,91.3
2020-03-22,91.3
2020-03-29,91.3
2020-04-05,80.6
2020-04-12,80.6
2020-04-19,80.6
2020-04-26,80.6
2020-05-03,73.5
2020-05-10,73.5
2020-05-17,73.5
2020-05-24,73.5
2020-05-31,73.5
2020-06-07,77.6
2020-06-14,77.6
2020-06-21,77.6
2020-06-28,77.6
2020-07-05,80.7
2020-07-12,80.7
2020-07-19,80.7
2020-07-26,80.7
2020-08-02,82.1
2020-08-09,82.1
2020-08-16,82.1
2020-08-23,82.1
2020-08-30,82.1
2020-09-06,84.7
2020-09-13,84.7
2020-09-20,84.7
2020-09-27,84.7
2020-10-04,88.5
2020-10-11,88.5
2020-10-18,88.5
2020-10-25,88.5
2020-11-01,88.6
2020-11-08,88.6
2020-11-15,88.6
