time,Coincident Index
Jan-85,79.1
Feb-85,78.8
Mar-85,78.7
Apr-85,79.6
May-85,79.5
Jun-85,78.9
Jul-85,79.8
Aug-85,79.3
Sep-85,79.3
Oct-85,79.5
Nov-85,79.5
Dec-85,79.1
Jan-86,78.7
Feb-86,78.5
Mar-86,78.1
Apr-86,78.5
May-86,77.9
Jun-86,77.9
Jul-86,77.4
Aug-86,77
Sep-86,78.4
Oct-86,77.8
Nov-86,77.2
Dec-86,78.1
Jan-87,78.5
Feb-87,78.7
Mar-87,79.5
Apr-87,79.5
May-87,79.7
Jun-87,81.2
Jul-87,82
Aug-87,82.6
Sep-87,83.9
Oct-87,85
Nov-87,85.8
Dec-87,86.6
Jan-88,87.3
Feb-88,89.3
Mar-88,88.2
Apr-88,90
May-88,89.7
Jun-88,90.3
Jul-88,91.1
Aug-88,91.4
Sep-88,92
Oct-88,92.3
Nov-88,93.7
Dec-88,93.9
Jan-89,94.6
Feb-89,94.4
Mar-89,97.7
Apr-89,95.3
May-89,95.4
Jun-89,95.9
Jul-89,95.5
Aug-89,96.8
Sep-89,97.2
Oct-89,96.8
Nov-89,97.4
Dec-89,97.9
Jan-90,97.8
Feb-90,98.1
Mar-90,98
Apr-90,98.6
May-90,100.1
Jun-90,100.8
Jul-90,101.2
Aug-90,100.9
Sep-90,100.5
Oct-90,101.9
Nov-90,101.3
Dec-90,101.1
Jan-91,101.1
Feb-91,100.6
Mar-91,99.8
Apr-91,98.9
May-91,100.1
Jun-91,98.3
Jul-91,99.5
Aug-91,98.2
Sep-91,97.3
Oct-91,96.6
Nov-91,96.8
Dec-91,95.2
Jan-92,94.1
Feb-92,93.7
Mar-92,91.9
Apr-92,90.6
May-92,88.9
Jun-92,89.1
Jul-92,88.2
Aug-92,86.4
Sep-92,87.8
Oct-92,85.4
Nov-92,83.8
Dec-92,83.2
Jan-93,84
Feb-93,84.1
Mar-93,83.6
Apr-93,83.4
May-93,82.5
Jun-93,81.3
Jul-93,81.4
Aug-93,81
Sep-93,81.1
Oct-93,79.8
Nov-93,79.6
Dec-93,79.2
Jan-94,79.7
Feb-94,79.5
Mar-94,80.6
Apr-94,80.9
May-94,80.8
Jun-94,82
Jul-94,82.6
Aug-94,83.3
Sep-94,83
Oct-94,83.7
Nov-94,84.4
Dec-94,84.8
Jan-95,83.1
Feb-95,84.7
Mar-95,85
Apr-95,85.5
May-95,84.9
Jun-95,85.1
Jul-95,83.6
Aug-95,84.9
Sep-95,84.8
Oct-95,85.1
Nov-95,85.8
Dec-95,86.7
Jan-96,86.1
Feb-96,87.1
Mar-96,86.9
Apr-96,87.7
May-96,88.4
Jun-96,88.2
Jul-96,89.1
Aug-96,89.1
Sep-96,89.7
Oct-96,90.8
Nov-96,91.9
Dec-96,92
Jan-97,93.6
Feb-97,93.6
Mar-97,94.7
Apr-97,92.9
May-97,94.5
Jun-97,94.3
Jul-97,94.1
Aug-97,93.9
Sep-97,93
Oct-97,92.9
Nov-97,90.9
Dec-97,90.7
Jan-98,90.3
Feb-98,88.5
Mar-98,86.1
Apr-98,86.6
May-98,85.7
Jun-98,85
Jul-98,85.4
Aug-98,84.2
Sep-98,85
Oct-98,84.3
Nov-98,84.3
Dec-98,83.9
Jan-99,84.7
Feb-99,84.4
Mar-99,85.7
Apr-99,85.2
May-99,85.6
Jun-99,85.9
Jul-99,86.6
Aug-99,87.7
Sep-99,88.5
Oct-99,88.7
Nov-99,89.5
Dec-99,89.6
Jan-00,90.1
Feb-00,91
Mar-00,91.8
Apr-00,92.6
May-00,92.6
Jun-00,94
Jul-00,93.4
Aug-00,94.9
Sep-00,94
Oct-00,95.2
Nov-00,95.5
Dec-00,96.4
Jan-01,94
Feb-01,93.7
Mar-01,92.5
Apr-01,91.5
May-01,90.3
Jun-01,89.9
Jul-01,88.6
Aug-01,87.3
Sep-01,85.9
Oct-01,85.5
Nov-01,84.6
Dec-01,84.1
Jan-02,84.4
Feb-02,85.2
Mar-02,85.8
Apr-02,86.4
May-02,88.8
Jun-02,88
Jul-02,88.7
Aug-02,89.6
Sep-02,90
Oct-02,90.1
Nov-02,90.7
Dec-02,89.7
Jan-03,90.5
Feb-03,91.2
Mar-03,91
Apr-03,90.5
May-03,91.3
Jun-03,91.3
Jul-03,91.7
Aug-03,91.9
Sep-03,93.7
Oct-03,95.8
Nov-03,94.9
Dec-03,96.9
Jan-04,98.2
Feb-04,98
Mar-04,98.1
Apr-04,99.1
May-04,98.9
Jun-04,99.8
Jul-04,101
Aug-04,99.9
Sep-04,100.1
Oct-04,99.6
Nov-04,100.8
Dec-04,99.9
Jan-05,100.6
Feb-05,99.7
Mar-05,100.7
Apr-05,101.9
May-05,100.8
Jun-05,101.4
Jul-05,100.7
Aug-05,101.5
Sep-05,101.7
Oct-05,102
Nov-05,102.9
Dec-05,103.5
Jan-06,103.8
Feb-06,104.4
Mar-06,104.7
Apr-06,105.1
May-06,105.4
Jun-06,105.6
Jul-06,105.7
Aug-06,106.2
Sep-06,106
Oct-06,106.3
Nov-06,106.3
Dec-06,106.3
Jan-07,106.4
Feb-07,106.2
Mar-07,105.8
Apr-07,106.5
May-07,107.3
Jun-07,106.8
Jul-07,106
Aug-07,107.4
Sep-07,105.7
Oct-07,106.9
Nov-07,106.1
Dec-07,105.9
Jan-08,105.7
Feb-08,105.9
Mar-08,104.9
Apr-08,104.1
May-08,104.6
Jun-08,101.9
Jul-08,101.7
Aug-08,98.3
Sep-08,97.5
Oct-08,94.3
Nov-08,88.3
Dec-08,83.3
Jan-09,75.8
Feb-09,71.9
Mar-09,71.6
Apr-09,72.9
May-09,74.4
Jun-09,75.9
Jul-09,76.7
Aug-09,78.2
Sep-09,80.2
Oct-09,82.3
Nov-09,83.8
Dec-09,85.3
Jan-10,87.8
Feb-10,88.6
Mar-10,89.9
Apr-10,90.9
May-10,90.4
Jun-10,91
Jul-10,91.7
Aug-10,91.8
Sep-10,92.6
Oct-10,92.1
Nov-10,93.9
Dec-10,94.2
Jan-11,94.1
Feb-11,95.3
Mar-11,88
Apr-11,86.5
May-11,88.7
Jun-11,90.9
Jul-11,91.9
